dataset_of_90s_track,dataset_of_90s_artist,dataset_of_90s_uri,dataset_of_90s_danceability,dataset_of_90s_energy,dataset_of_90s_key,dataset_of_90s_loudness,dataset_of_90s_mode,dataset_of_90s_speechiness,dataset_of_90s_acousticness,dataset_of_90s_instrumentalness,dataset_of_90s_liveness,dataset_of_90s_valence,dataset_of_90s_tempo,dataset_of_90s_duration_ms,dataset_of_90s_time_signature,dataset_of_90s_chorus_hit,dataset_of_90s_sections,dataset_of_90s_target,dataset_of_90s_id_ano
Letitgo,Prince,spotify:track:3LuCnnGkixRVdEKFo4K0az,0.685,0.797,1,"-4,851",1,"0,0566","0,0437","0,000117","0,314","0,825","173,253",335040,4,"32,57711",17,1,6
Let's Play House,Tha Dogg Pound Featuring Michel'le,spotify:track:4cgJF9rKas2H5AC8FnNts0,0.822,0.702,10,"-4,759",0,"0,0755","0,0919","0,00559","0,191","0,804","91,37",204440,4,"31,63279",12,1,6
Liege of Inveracity,Suffocation,spotify:track:7qvTHdpc9qu4TMPur5vs9w,0.313,0.931,1,"-7,951",1,"0,113","8,67E-05","0,919","0,176","0,405","109,648",270840,4,"86,03433",12,0,6
Life,K-Ci & JoJo,spotify:track:5GorFaKkP2mLREQvhSblIg,0.629,0.511,1,"-8,651",1,"0,0326","0,114","3,91E-06","0,0588","0,181","128,038",331240,4,"24,89624",12,1,6
Life Ain't Easy,Cleopatra,spotify:track:73NMoIdOqIfg5Dma68Gi4R,0.624,0.845,11,"-6,705",1,"0,0637","0,301",0,"0,335","0,546","98,361",200227,4,"32,19154",9,1,6
Light In Your Eyes,Blessid Union Of Souls,spotify:track:1yckLYhD232gkDZG86QhAn,0.471,0.454,11,"-9,118",1,"0,0309","0,546",0,"0,114","0,36","170,995",256200,3,"27,60281",14,1,6
Lights,Journey,spotify:track:7EHmKkyAr6MZv5Y2FdZbXw,0.193,0.5,7,"-9,903",1,"0,0381","0,108","0,0067","0,332","0,354","207,639",190333,3,"39,12345",8,1,6
Like A Parasite,The Queers,spotify:track:42InPIKN75glxg51jOHd1G,0.534,0.934,7,"-4,28",1,"0,036","0,00103","0,221","0,375","0,97","130,931",172200,4,"44,96101",8,0,6
Like The Worms,Kickback,spotify:track:5ekymSTSfQtHOKicsJs4wu,0.446,0.896,2,"-7,369",1,"0,0572","2,46E-05","6,67E-06","0,224","0,263","88,403",236667,4,"103,34354",7,0,6
Liten brunett,Jan Johansson,spotify:track:6sBrd2zyN5qi9XsG0hyMY8,0.467,0.209,0,"-17,803",1,"0,0387","0,302",0,"0,182","0,473","75,921",392667,4,"36,92091",16,0,6
Little Bird,Annie Lennox,spotify:track:1KX8GhTteEUlkbfzaRzbsx,0.767,0.521,9,"-9,145",1,"0,0351","0,247","0,00124","0,303","0,672","124,995",292426,4,"30,15971",10,1,6
Little Drummer Boy,Apocalyptica,spotify:track:5ylwVp5Igdp40VWn1JwFa2,0.181,0.209,10,"-16,7",1,"0,0323","0,492","0,903","0,118","0,068","69,637",290613,4,"63,1293",14,0,6
Little Hammer,Pale Saints,spotify:track:5tVTlvr0U1yL5xPJ5nPlVE,0.363,0.207,0,"-20,646",1,"0,0306","0,589","0,75","0,119","0,0859","192,25",137600,3,"26,74812",7,0,6
Little Rock Getaway,Alan Munde,spotify:track:4LazBIjGBtMAzD7p16Pvvl,0.547,0.504,0,"-13,723",1,"0,0391","0,719","0,858","0,253","0,963","120,701",164733,4,"64,34159",6,0,6
Livin' La Vida Loca,Ricky Martin,spotify:track:0Ph6L4l8dYUuXFmb71Ajnd,0.425,0.954,1,"-3,756",0,"0,0476","0,00411",0,"0,0555","0,933","178,043",243160,4,"45,32625",7,1,6
Living In Sin,Bon Jovi,spotify:track:4urd42euwvihhC3j1G8Jt2,0.267,0.793,4,"-7,12",1,"0,0415","0,0247",0,"0,0634","0,526","174,118",279053,4,"29,48887",15,1,6
Lo Mejor del Rock N' Roll,Expulsados,spotify:track:5nd5ZnTvznukaV2Hcesc09,0.273,0.824,2,"-4,981",1,"0,0742","0,0153","0,322","0,112","0,777","185,664",153360,4,"24,11872",7,0,6
Lollipop (Candyman),Aqua,spotify:track:5tnqSEWM3EKoEtjSZpmHcH,0.718,0.944,0,"-6,405",0,"0,0282","0,0297","0,0148","0,13","0,824","139,04",216707,4,"21,94503",13,1,6
Lone Star Queen,New York Dolls,spotify:track:4WKZzd4XrY5Q81bb1RaI5b,0.562,0.577,1,"-12,337",0,"0,0358","0,167","0,000161","0,399","0,498","95,61",250627,4,"28,41857",15,0,6
Long Island Sunset,Tangerine Dream,spotify:track:47bQWn43LYwprO6mi5lQD0,0.499,0.567,0,"-12,544",1,"0,0295","0,00183","0,848","0,0931","0,078","128,027",423333,4,"49,07164",18,0,6
Long Lost To Where No Pathway Goes,Summoning,spotify:track:6jPQuZQnyRQQD9EoV4bV2Y,0.138,0.846,3,"-5,372",0,"0,0667","0,0178","0,824","0,0668","0,283","81,862",443467,4,"86,24529",15,0,6
Loser,Beck,spotify:track:5PntSbMHC1ud6Vvl8x56qd,0.654,0.611,2,"-10,45",1,"0,119","0,0337","0,000178","0,405","0,786","85,387",235000,4,"22,99763",10,1,6
LOST INTO THE NIGHT,ELISA,spotify:track:2N1PyNyhhKYCVzOjjXuopf,0.521,0.956,1,"-5,44",1,"0,0367","0,0022","0,00683","0,0998","0,801","158,023",295200,4,"24,34232",14,0,6
Lounge Chair Drifters,Moonrock,spotify:track:6obhcIEfkWj1Tvsu4Y47N4,0.763,0.458,5,"-12,326",0,"0,0397","0,79","0,926","0,11","0,304",126,324360,4,"64,92048",11,0,6
Love Gets Rough,Troy Newman,spotify:track:5GVTSRvxUuPwT4PaTfvKKg,0.56,0.665,4,"-11,428",1,"0,0286","0,0522",0,"0,174","0,48","95,013",296227,4,"20,52361",13,1,6
Love II Love,Damage,spotify:track:1m1xRfGOhuGUdgbqfU0U0B,0.803,0.684,6,"-7,668",0,"0,0351","0,0801",0,"0,0887","0,626","97,011",267093,4,"36,12207",7,1,6
Love In Portofino,Dalida,spotify:track:0cgcD73SD4nFdTK2oKofzW,0.418,0.29,8,"-10,126",0,"0,0317","0,78",0,"0,173","0,505","89,496",182067,4,"51,76689",9,0,6
Love Is A Rock,REO Speedwagon,spotify:track:7JLFGPUo8ytYKPkOY9XSsU,0.562,0.832,0,"-9,279",1,"0,0368","0,217","1,32E-06","0,0505","0,443","106,033",336467,4,"21,53015",10,1,6
Love Is All Around,Wet Wet Wet,spotify:track:0PCGfA36HrVPmsBZJ57zOU,0.523,0.689,10,"-6,58",1,"0,027","0,228",0,"0,109","0,547","84,09",246240,4,"39,43639",10,1,6
Love Is On The Way,Saigon Kick,spotify:track:3F3n2V9XBrtb1omqLfcNPe,0.576,0.449,1,"-8,764",0,"0,0287","0,085",0,"0,119","0,0552","129,323",264173,4,"42,75337",9,1,6
Love Of My Life,Sammy Kershaw,spotify:track:1oMMvSvR0knSpiS8GNAJ1L,0.552,0.384,10,"-9,641",1,"0,0249","0,19","3,3E-05","0,0852","0,286","139,986",266520,4,"35,10079",13,1,6
Love On My Mind,Xscape,spotify:track:5hzdcPTFKEuRVuN8cTkcvl,0.892,0.488,3,"-9,748",0,"0,041","0,0316",0,"0,0284","0,786","101,89",228902,4,"41,96758",10,1,6
Love Song,Eddie Lang,spotify:track:0xPwddc6t0w6SBi1a1s8Zu,0.652,0.0795,1,"-24,584",1,"0,0964","0,974","0,72","0,104","0,283","124,533",198733,4,"56,5514",8,0,6
Love Takes Time,Mariah Carey,spotify:track:48l7PNpT2fBoT4cdLW6EzP,0.602,0.338,11,"-12,371",1,"0,0293","0,727",0,"0,0849","0,25","126,232",229227,4,"32,05178",13,1,6
Love Thing,Bratmobile,spotify:track:0N9zigyujGyQdcNEM5GkbR,0.472,0.925,5,"-5,31",0,"0,0414","0,0554","0,185","0,305","0,336","85,695",100227,4,"21,56388",7,0,6
Love You All My Lifetime,Chaka Khan,spotify:track:2yTswsiLkNGzzzX54WroNS,0.693,0.827,10,"-6,437",0,"0,0483","0,0114","0,189","0,32","0,906","103,087",281680,4,"72,96594",12,1,6
Lucky Love,Ace Of Base,spotify:track:2O5MugeVVDlVs4ThMCy1Lm,0.769,0.662,5,"-7,238",1,"0,0319","0,129","0,00102","0,0814","0,863","104,104",175747,4,"31,43337",7,1,6
M.Mussorgsky. Pictures at an Exhibition. Promenade (in minor),Modest Mussorgsky,spotify:track:6uZ73KjicmrDmqYiUHIfrU,0.293,0.136,2,"-15,889",0,"0,0419","0,755","0,344","0,25","0,154","85,655",37267,3,"9,47083",3,0,6
Magic Carpet Ride,The Mighty Dub Katz,spotify:track:4bVqQy9NOtwLjHIWlK7rW5,0.852,0.937,6,"-5,961",0,"0,0465","0,00437","0,923","0,122","0,847","128,693",487947,4,"31,82037",17,1,6
Main Title,Tangerine Dream,spotify:track:4sT17kVssVnnC2qQ16T35z,0.511,0.942,7,"-13,426",0,"0,0346","0,564","0,863","0,167","0,423","150,005",75840,4,"25,50438",6,0,6
Make It Hot,"""Nicole Featuring Missy """"Misdemeanor"""" Elliott & Mocha""",spotify:track:74nsOZqzZzyvFVvBy12I7Y,0.76,0.458,7,"-8,834",1,"0,19","0,376","0,000229","0,143","0,581","84,08",267093,4,"69,92915",11,1,6
Make It Like It Was,Regina Belle,spotify:track:5sUhPjE13aCyHyEn2XuzF6,0.466,0.448,6,"-6,651",1,"0,0293","0,686","8,49E-06","0,142","0,153","119,513",307467,4,"68,4094",13,1,6
Make Love Like A Man,Def Leppard,spotify:track:4kmsbka0IvuC1x4GdK3FcH,0.389,0.916,2,"-6,481",1,"0,0513","0,0408",0,"0,28","0,582","205,733",255624,4,"43,76449",13,1,6
Mama Said Knock You Out,LL Cool J,spotify:track:6C7ZgThn6Yan5MTZdAEEFw,0.791,0.759,10,"-7,378",0,"0,129","0,0314","0,674","0,255","0,619","102,382",289693,4,"69,75038",10,1,6
Mamaye,Theodros Mitiku,spotify:track:4e0lP3AyHW23CFXfT7FwzL,0.693,0.491,0,"-11,435",1,"0,0304","0,394","0,307","0,122","0,777","115,821",426600,3,"42,16961",21,0,6
Man On The Moon,R.E.M.,spotify:track:4jLv3tDBu8ww2R07DvL12s,0.667,0.699,7,"-7,574",1,"0,026","0,42","0,000442","0,201","0,655","118,567",314173,4,"65,08031",12,1,6
Mariquita,Caifanes,spotify:track:4uBbIsDAYbZVLXWY0wAZrp,0.642,0.65,9,"-9,647",0,"0,0394","0,801","1,16E-06","0,106","0,881","155,226",116467,4,"50,28586",6,0,6
MC's Act Like They Don't Know,KRS-One,spotify:track:0snDRsjNRMJhm7SVja8l6J,0.855,0.798,1,"-4,018",1,"0,237","0,0101","0,000615","0,628","0,855","90,429",295933,4,"32,78184",10,1,6
Me and the Devil Blues - Take 2,Robert Johnson,spotify:track:3Xyt0mXMTXczxtG0yeGksM,0.707,0.145,10,"-14,56",1,"0,114","0,948","0,000185","0,184","0,384","82,844",150960,4,"65,8351",6,0,6
Meathook Sodomy,Cannibal Corpse,spotify:track:66opfMXBdeH53Ew5X6XydK,0.351,0.989,1,"-9,227",1,"0,171","0,000703","0,929","0,327","0,199","147,812",347067,4,"36,69178",15,0,6
Melô do Papudinho,Roberto Villar,spotify:track:6bsRaWbQax07cMytD0c64v,0.728,0.555,7,"-8,236",0,"0,0838","0,182",0,"0,14","0,629","144,475",177424,4,"54,7974",8,0,6
Melodía De Amor,Los Rebeldes Del Rock,spotify:track:7dPI1PHsij0TPk4L8lIHsT,0.588,0.454,0,"-12,926",1,"0,0305","0,793",0,"0,0914","0,972","147,423",143067,4,"51,11176",7,0,6
Memories of Mother and Dad,Hazel Dickens,spotify:track:0awB83Y3jI3Zrr2DxVqXFT,0.61,0.475,11,"-10,87",1,"0,0261","0,803","9,26E-06","0,15","0,858","101,752",159093,4,"46,29682",8,0,6
Metal Heart,Dimmu Borgir,spotify:track:5iQyl3tVzjcyIaTMN8X7AL,0.186,0.95,7,"-4,895",1,"0,0779","0,00426","0,0521","0,157","0,217","132,141",277400,4,"46,71165",11,0,6
Metal Maniac Master Mind,U.D.O.,spotify:track:0m9WMc5fzuoiVcSgIzKV7b,0.43,0.922,0,"-8,334",1,"0,0507","0,0723","0,00241","0,21","0,14","97,727",341200,4,"23,95149",12,0,6
Metal Meltdown,Judas Priest,spotify:track:679lDz2Jn7TOD6LRl2gM8y,0.359,0.968,9,"-5,4",1,"0,17","0,00137","0,288","0,382","0,123","150,058",287667,4,"43,36045",10,0,6
Metal Mothers,Guided By Voices,spotify:track:5BJiMeT5AMTuo2O6Z6g8lT,0.216,0.685,11,"-5,918",0,"0,0372","0,00027","0,0013","0,116","0,267","120,269",198107,4,"29,31016",9,0,6
Metal Warriors,Manowar,spotify:track:5P2Ghhv0wFYThHfDQaS0g5,0.571,0.797,9,"-9,264",1,"0,0497","0,000786","0,186","0,0777","0,243","101,003",234560,4,"32,00007",9,0,6
Mexican Radio,Polvo,spotify:track:43TUykEhCrOSzdMpQKl0zA,0.181,0.939,7,"-7,694",0,"0,0863","0,189","0,67","0,0729","0,111","173,036",203467,4,"37,74879",12,0,6
Mi Cantar,Los Angeles Azules,spotify:track:5PPKUD3n5mceqRD1U2Z9PW,0.468,0.602,9,"-7,295",0,"0,054","0,269",0,"0,159","0,47","85,38",234373,4,"20,11285",11,0,6
Mi Virgencita,Valentín Elizalde,spotify:track:5vB6itJfxpCKGSc1IqbOV6,0.654,0.455,3,"-7,977",1,"0,0499","0,476","2,55E-05","0,0716","0,974","141,161",147853,3,"32,48697",8,0,6
Miami,Will Smith,spotify:track:6e8Ou0wiqAzIpWb2eSxll8,0.877,0.534,1,"-6,18",1,"0,151","0,0339","1,73E-05","0,0441","0,89","108,171",197560,4,"43,97495",9,1,6
Microphone Master,Das EFX (Featuring Mobb Deep),spotify:track:4HBjg3KAkjoHZFWQL6STl5,0.777,0.66,8,"-7,794",0,"0,266","0,0934","1,22E-05","0,0478","0,565","89,224",271973,4,"41,27306",12,1,6
Midnight Awakenings,Greg Maroney,spotify:track:0DBnhwsPSmM0I66hnEBwA8,0.369,0.129,2,"-17,706",0,"0,0372","0,991","0,865","0,11","0,0382","75,418",369253,4,"83,0492",14,0,6
Milk Cow Blues,Dead Moon,spotify:track:0Tsnzn7uJCcxnaefznI8Os,0.281,0.766,0,"-6,059",1,"0,0459","0,0283","3,3E-05","0,46","0,623","201,339",219722,4,"36,48677",12,0,6
Mind Blowin',Smooth,spotify:track:4kYBrdNJUdoB7iJs9WJMvu,0.768,0.847,7,"-4,652",1,"0,122","0,00412",0,"0,0843","0,653","95,046",255960,4,"17,44817",14,1,6
Minha,Cartola,spotify:track:3TBy6We8pwdcLeFNt0ahKA,0.652,0.535,9,"-12,21",1,"0,0386","0,908","5,26E-05","0,117","0,961","99,097",139267,4,"61,86275",6,0,6
Miniskirt Blues (feat. Iggy Pop),The Cramps,spotify:track:7jiy36W10zchNsv7P6Rd9C,0.396,0.945,11,"-5,872",0,"0,153","0,554",0,"0,18","0,416","120,417",159907,4,"35,45056",7,0,6
Misirlou - Remastered,Laurindo Almeida,spotify:track:1RslTh1c3KGURkNULxE5N1,0.572,0.325,7,"-15,795",0,"0,0387","0,378","0,506","0,149","0,722","86,484",164933,4,"98,9362",5,0,6
Missing You Now,Michael Bolton,spotify:track:7ho5FKdNqmmbCpXYcyDH8c,0.62,0.508,7,"-11,621",1,"0,0272","0,118",0,"0,187","0,289","95,01",273307,4,"34,87372",16,1,6
Misty Roses,Astrud Gilberto,spotify:track:50RBM1j1Dw7WYmsGsWg9Tm,0.527,0.316,1,"-15,769",1,"0,031","0,693","0,00699","0,168","0,543","116,211",158840,4,"53,89523",6,0,6
MMMBop,Hanson,spotify:track:0lnxrQAd9ZxbhBBe7d8FO8,0.683,0.937,9,"-6,335",1,"0,0449","0,00481","0,0046","0,07","0,619","104,872",268653,4,"21,37213",12,1,6
Modess Punk Rock,Tequila Baby,spotify:track:1F0CxCWHKXDOZhHDCUDGBS,0.369,0.951,7,"-9,43",1,"0,0422","0,207","0,137","0,297","0,903","136,968",96052,4,"44,28084",5,0,6
Molly (Sixteen Candles),Sponge,spotify:track:6nvixw7XmqBSuYVpgCqvPY,0.504,0.775,1,"-7,844",1,"0,0331","0,0614","2,26E-05","0,307","0,842","101,827",215000,4,"38,11169",7,1,6
Money,KMFDM,spotify:track:6EKrKfhgmQy5rHwNuXADH8,0.493,0.915,2,"-4,95",1,"0,0445","2,72E-05","0,108","0,8","0,286","178,151",330093,4,"24,22331",17,0,6
Monroe's Hornpipe,The Bluegrass Album Band,spotify:track:0uVLFiXalgRPbVLLmt8FBO,0.493,0.775,9,"-9,283",1,"0,0304","0,648","0,956","0,0811","0,955","139,217",180667,4,"36,34441",11,0,6
Monster Jam,Spoonie Gee Meets The Sequence,spotify:track:2UyoRef5vZttyPKfYRAQ4J,0.882,0.914,4,"-6,324",0,"0,16","0,449",0,"0,106","0,81","106,672",530067,4,"49,22166",21,0,6
Moonlight On Water,Laura Branigan,spotify:track:21J5SyEJkfFG3dvuNXra2n,0.711,0.937,6,"-3,235",1,"0,0536","0,236","0,0481","0,51","0,931","126,067",279346,4,"33,29581",12,1,6
More Mess on My Thing,The Poets Of Rhythm,spotify:track:3HgPOHHJWnMfv1Zw27Jh2V,0.542,0.869,0,"-6,18",1,"0,0954","0,225","0,891","0,0453","0,962","190,509",252000,4,"41,01328",12,0,6
Morning Broadway,Keith Mansfield,spotify:track:0laaEWjPcgAoEOcL8gIHJN,0.758,0.528,0,"-10,094",1,"0,0426","0,32","0,346","0,102","0,686","94,373",101133,4,"17,67694",5,0,6
Mr. Vain,Culture Beat,spotify:track:4ih3dyFZoeTdaeJW9mPbOI,0.703,0.997,9,"-7,666",0,"0,0399","0,0726","0,0235","0,123","0,391","132,872",257467,4,"20,68683",14,1,6
Mulemba Xangóla,Bonga,spotify:track:5uS6DX0QD19U5Bz6Q2rVeu,0.73,0.918,6,"-9,193",0,"0,07","0,0575","0,269","0,0621","0,946","119,753",349960,4,"30,55625",14,0,6
Murder She Wrote,Chaka Demus & Pliers,spotify:track:1HGyhNaRUFEDBiVLbvtbL6,0.883,0.733,11,"-9,153",0,"0,128","0,161","0,00026","0,334","0,947","95,103",245000,4,"52,18347",13,1,6
"Music for Alpha Waves, Assorted Percussion, and Automated Coded Relays",Alvin Lucier,spotify:track:7yPZ0GWuRTsXPFZ23CfCy9,0.48,0.266,5,"-23,162",1,"0,076","0,0108","0,07","0,117","0,217","73,981",244533,3,"47,25004",8,0,6
Music Sounds Better With You,Stardust,spotify:track:303ccTay2FiDTZ9fZ2AdBt,0.735,0.72,1,"-7,04",1,"0,336","0,00105","0,15","0,382","0,364","124,174",403293,4,"62,9348",17,1,6
"Musica ricercata: No. 7, Cantabile, molto legato",György Ligeti,spotify:track:3mWP6hxaJJUwrq3XPrL5Io,0.278,0.00897,10,"-35,603",1,"0,0328","0,986","0,781","0,0717","0,598","110,174",244120,3,"44,81627",14,0,6
My Baby Mama,QT,spotify:track:0Ib6Harf3hHKOwXGeHaM5O,0.688,0.519,2,"-8,629",1,"0,0421","0,114",0,"0,0565","0,385","124,125",250973,4,"35,78429",8,1,6
My Bucket's Got A Hole In It,Kid Ory,spotify:track:6P24Hq4lGoO8WU8MiCfoag,0.685,0.409,5,"-13,102",1,"0,0737","0,491","0,228","0,631","0,864","138,635",295133,4,"20,89579",13,0,6
My Favorite Mistake,Sheryl Crow,spotify:track:1LAW7bK2NUJfrnmy2KRCs3,0.613,0.754,4,"-8,191",0,"0,0318","0,00594","0,000318","0,33","0,576","104,651",245093,4,"58,98659",10,1,6
My Funny Valentine,Ben Webster,spotify:track:7LdrTu0apcwGJi3B5WWYnk,0.54,0.0692,3,"-15,105",1,"0,052","0,945","0,298","0,147","0,38","72,984",204760,3,"69,246",9,0,6
My Heart Belongs To You,Russ Irwin,spotify:track:1s0VBhLgxZJpC6M9uncj4e,0.491,0.34,3,"-12,18",1,"0,0293","0,645","1,46E-06","0,112","0,226","133,305",240933,4,"40,18406",13,1,6
My Little Secret,Xscape,spotify:track:0mIuIBLkaRvPCz6A0mPqbM,0.814,0.431,8,"-9,125",1,"0,0936","0,371",0,"0,335","0,542","129,957",268040,4,"32,19452",14,1,6
My Lovin' (You're Never Gonna Get It),En Vogue,spotify:track:3R97rNX7JnmshCWBwOSFet,0.767,0.839,8,"-5,519",1,"0,0613","0,0318","9,31E-06","0,111","0,461","98,055",281613,4,"49,1033",12,1,6
My Name Is,Eminem,spotify:track:75IN3CtuZwTHTnZvYM4qnJ,0.869,0.68,1,"-6,233",1,"0,318","0,0416","1,12E-06","0,0914","0,815","85,519",268400,4,"101,41937",8,1,6
My Sweet Fracture,Saves The Day,spotify:track:18WaFfdur1fnT7HORnS8nm,0.407,0.648,9,"-5,078",1,"0,0468","0,00899",0,"0,343","0,586","143,061",232320,4,"30,87459",10,0,6
My Up And Down,Adina Howard,spotify:track:3XmaNnRquEYkDjw2ODrjjz,0.712,0.647,8,"-4,149",1,"0,0987","0,206","1,05E-06","0,046","0,7","140,216",221093,4,"44,03005",8,1,6
Mystic Land,Yoshihisa Hirano,spotify:track:4s6LQZD3XWFJCZWrLsP4xL,0.543,0.182,0,"-23,049",1,"0,0289","0,737","0,858","0,11","0,363","82,033",91907,4,"41,81026",6,0,6
Naima,Pharoah Sanders,spotify:track:2YlpSkS6AsF26XRRAtp32M,0.259,0.47,8,"-15,241",1,"0,042","0,0408","0,237","0,0979","0,396","79,972",367307,4,"36,61866",17,0,6
Nann,Trick Daddy Featuring Trina,spotify:track:7d9I42jF759n5HuUeoulzR,0.837,0.819,2,"-5,245",1,"0,211","0,000507",0,"0,323","0,643","149,918",167400,4,"23,59781",9,1,6
Nao enche,Caetano Veloso,spotify:track:5X7YQ1Wp36sNprUKZSPLFK,0.816,0.723,5,"-8,42",0,"0,0656","0,223","8,13E-05","0,0591","0,926","93,953",210133,4,"34,13147",11,0,6
Não Transo Mais (Parte 1),Made In Brazil,spotify:track:2kWO6D5F9R0lQbqfmtTVGA,0.356,0.879,9,"-7,415",1,"0,0539","0,00441","2,9E-06","0,377","0,758","172,554",149133,4,"22,95385",7,0,6
Naomi,Neutral Milk Hotel,spotify:track:64uuKDv6dm6PuUOA3PBQaS,0.122,0.481,9,"-11,713",1,"0,0361","0,0202","3,1E-06","0,253","0,316","175,238",293067,4,"23,46198",14,0,6
Need You Around,Smoking Popes,spotify:track:2eVS6981nLGiBo3Hb5TntY,0.439,0.883,9,"-7,625",1,"0,0453","0,000111","0,513","0,104","0,527","108,183",222093,4,"44,01626",12,0,6
Nervos de Aço,Joanna,spotify:track:0NbC9rdpSQ6ByxaHWWjs76,0.711,0.395,11,"-11,124",0,"0,0537","0,613",0,"0,319","0,417","118,086",217373,4,"30,58381",14,0,6
Never Enough,The Cure,spotify:track:7mMRFDHJRFjkvEoEx5u6jK,0.507,0.988,7,"-3,877",1,"0,133","0,0658","0,006","0,333","0,482","100,747",268200,4,"65,16117",12,1,6
Never Ever,All Saints,spotify:track:5FTz9qQ94PyUHETyAyfYZN,0.738,0.541,1,"-5,485",1,"0,0311","0,559",0,"0,0492","0,309","134,187",387573,4,"32,16853",16,1,6
Never Gonna Let You Go,Faith Evans,spotify:track:0wqocHOZg8odmys7DOyVER,0.644,0.443,1,"-7,308",0,"0,0295","0,442",0,"0,117","0,0534","109,936",267400,4,"20,46532",12,1,6
Never Leave Me Alone,Nate Dogg Featuring Snoop Doggy Dogg,spotify:track:6lah2pPQVdTsfoMSHkyYmn,0.821,0.549,8,"-3,591",1,"0,0371","0,0437",0,"0,0737","0,963","100,023",360507,4,"30,97036",16,1,6
New Shiny Shoes,Sandra McCracken,spotify:track:0IhBJgpOvZWVbNoyN1T1A9,0.687,0.532,10,"-10,818",1,"0,0272","0,108",0,"0,146","0,701","114,011",230853,4,"35,66211",11,0,6
Nicety,Michel'le,spotify:track:1vw9MuorZMUxhsQBGsgyo1,0.83,0.712,11,"-7,447",1,"0,0446","0,0105","0,24","0,049","0,814","103,141",211160,4,"56,5586",9,1,6
night & day,The Real Group,spotify:track:4A6reXnn8MJ1niDuhogBdz,0.501,0.159,11,"-13,748",0,"0,0346","0,877",0,"0,694","0,0708","112,121",306133,4,"43,18438",13,0,6
No Fool No More,En Vogue,spotify:track:1RhaF2Eq1Zg1zR1MIaY9I1,0.53,0.679,2,"-5,987",0,"0,0523","0,444",0,"0,0728","0,338","76,045",257573,4,"35,00537",10,1,6
No Love,The Get Up Kids,spotify:track:0aQktMvylpZq1TePvgCGDv,0.191,0.892,2,"-10,574",1,"0,224","0,000154","0,0553","0,114","0,627","183,346",184653,4,"34,98961",7,0,6
No Mistakes,Patty Smyth,spotify:track:1Ak9nTnQiO4o6CdNWhk7gq,0.691,0.6,9,"-9,015",1,"0,026","0,0364",0,"0,174","0,518","111,366",323427,4,"49,76024",12,1,6
No More Tears,Ozzy Osbourne,spotify:track:7w6PJe5KBPyvuRYxFkPssC,0.346,0.749,6,"-6,506",1,"0,035","0,00167","8,86E-05","0,648","0,315","102,591",443240,4,"32,13953",17,1,6
No Myth,Michael Penn,spotify:track:4SZozsPsG0vJ2Ti8BGxKsR,0.633,0.795,0,"-7,617",1,"0,0319","0,054","8,83E-05","0,34","0,833","103,504",250813,4,"72,89685",10,1,6
No Ordinary Love,Sade,spotify:track:42vYxMAWsFpBOS7hgAdzqW,0.629,0.364,11,"-12,259",0,"0,038","0,468","0,0198","0,0941","0,699","166,254",440467,4,"36,34936",21,1,6
No Pigeons,Sporty Thievz Featuring Mr. Woods,spotify:track:6r78MF6BFaeEG8rBw9Y5nQ,0.79,0.656,8,"-11,13",0,"0,301","0,00913",0,"0,131","0,498","95,583",206240,4,"49,58662",9,1,6
Nobody Loves Like an Irishman,Lonnie Donegan & His Skiffle Group,spotify:track:7tA4GTABzMgAU2ByqwQYyY,0.664,0.448,7,"-11,7",1,"0,148","0,715",0,"0,0839","0,68","79,814",163427,4,"30,24634",9,0,6
"Nocturne No. 2 in E-Flat Major, Op. 9 No. 2",Frédéric Chopin,spotify:track:2TB6PQkgnw9rrFRK4VOOrC,0.411,0.0487,10,"-25,68",1,"0,0383","0,985","0,918","0,0944","0,101","128,856",248933,1,"30,7052",16,0,6
Not Enough Time,INXS,spotify:track:4nwgKaHg9TJahiSSmt3X1x,0.668,0.727,2,"-5,679",1,"0,0414","0,0447","0,0104","0,45","0,287","96,006",250653,4,"41,34331",12,1,6
Nothing Else Matters,Apocalyptica,spotify:track:3uErbNGaNIPJkRlMrLxR9Z,0.346,0.198,2,"-12,208",0,"0,0334","0,566","0,893","0,0958","0,163","138,103",285533,3,"30,8848",14,0,6
Notorious B.I.G.,The Notorious B.I.G. Featuring Puff Daddy & Lil' Kim,spotify:track:5ByAIlEEnxYdvpnezg7HTX,0.889,0.816,9,"-4,67",1,"0,247","0,472",0,"0,204","0,777","96,056",302693,4,"19,67192",11,1,6
Now And Forever,Richard Marx,spotify:track:2V2pxcEfn5zs79sE7qcewA,0.441,0.258,7,"-11,227",1,"0,0276","0,661",0,"0,106","0,172","77,988",214827,1,"38,26672",11,1,6
Now That We Found Love,Heavy D & The Boyz,spotify:track:1KONmY3enP3r3nIPQidWAy,0.744,0.697,8,"-14,753",1,"0,0631","0,039",0,"0,171","0,683","119,955",258200,4,"24,91855",13,1,6
Nuttin' But Love,Heavy D & The Boyz,spotify:track:43JSZNyRzLa3nD9W0hfD48,0.731,0.499,11,"-13,619",0,"0,374","0,0527","0,0015","0,0362","0,47","202,675",213733,4,"35,99987",10,1,6
